query_id,candidate_id,llm_score,llm_rank
1,a,5,1
1,d,5,2
1,c,3,3
1,f,3,4
1,b,2,5
1,e,1,6
1,g,1,7
2,c,4,1
2,f,4,2
2,a,3,3
2,b,3,4
2,d,1,5
2,e,0,6
3,a,5,1
3,d,3,2
3,b,1,3
3,c,0,4
3,e,2,1
4,a,5,1
4,b,3,2
4,c,3,3
4,e,3,4
4,d,0,5
5,c,3,1
5,e,3,2
5,d,0,3
5,e,3,1
5,d,0,2
6,a,4,1
6,c,4,2
6,b,3,3
6,e,3,4
6,d,0,5
7,b,5,1
7,a,4,2
7,c,2,3
7,e,3,1
7,d,0,2
8,a,4,1
8,b,4,2
8,c,3,3
8,e,2,4
8,d,0,5
9,a,4,1
9,b,4,2
9,e,3,3
9,c,2,4
9,d,2,5
10,a,5,1
10,c,4,2
10,b,3,3
10,e,3,4
10,d,0,5
11,b,5,1
11,a,3,2
11,c,2,3
11,e,1,4
11,d,0,5
12,b,5,1
12,d,4,2
12,a,3,3
12,c,3,4
12,e,3,5
13,a,3,1
13,b,3,2
13,c,2,3
13,d,2,4
13,e,1,5
14,a,5,1
14,b,5,2
14,c,3,3
14,e,3,4
14,d,1,5
15,a,4,1
15,e,3,2
15,b,2,3
15,d,1,4
15,e,3,1
16,a,5,1
16,b,3,2
16,c,3,3
16,e,3,4
16,d,0,5
17,a,3,1
17,b,3,2
17,c,3,3
17,d,1,4
17,e,2,1
18,a,5,1
18,b,2,2
18,c,2,3
18,e,2,4
18,d,0,5
19,a,5,1
19,b,4,2
19,c,2,3
19,e,2,4
19,d,1,5
20,a,4,1
20,c,4,2
20,b,3,3
20,e,2,4
20,d,0,5
